Año,Trimestre,Provincia,Banda ancha fija,Dial up
2018,3,San Luis,74121,300.0
2018,3,Santa Cruz,33565,434.0
2018,3,Santa Fe,694883,217.0
2018,3,Santiago Del Estero,86358,2.0
2018,3,Tierra Del Fuego,45056,508.0
2018,3,Tucumán,171135,31.0
2018,2,Buenos Aires,3490134,10565.0
2018,2,Capital Federal,1362498,6688.0
2018,2,Catamarca,34078,11.0
2018,2,Chaco,98509,12.0
2018,2,Chubut,98137,2427.0
2018,2,Córdoba,712979,94.0
2018,2,Corrientes,97946,11.0
2018,2,Entre Ríos,199937,48.0
2018,2,Jujuy,45132,1.0
2018,2,La Pampa,82177,244.0
2018,2,La Rioja,51931,17.0
2018,2,Mendoza,199468,1484.0
2018,2,Neuquén,113842,2006.0
2018,2,Río Negro,111176,1059.0
2018,2,Salta,134166,1.0
2018,2,San Juan,63443,658.0
2018,2,San Luis,21168,300.0
2018,2,Santa Cruz,33970,435.0
2018,2,Santa Fe,684243,309.0
2018,2,Santiago Del Estero,83773,2.0
2018,2,Tierra Del Fuego,44199,508.0
2018,2,Tucumán,169926,31.0
2018,1,Buenos Aires,3464882,10564.0
2018,1,Capital Federal,1359882,6688.0
2018,1,Catamarca,33934,11.0
2018,1,Chaco,96925,12.0
2018,1,Chubut,95532,2427.0
2018,1,Córdoba,713825,101.0
2018,1,Corrientes,94406,11.0
2018,1,Entre Ríos,197346,48.0
2018,1,Formosa,32328,0.0
2018,1,Jujuy,44405,1.0
2018,1,La Pampa,82668,396.0
2018,1,La Rioja,52228,17.0
2018,1,Mendoza,199463,1484.0
2018,1,Misiones,103580,0.0
2018,1,Neuquén,115897,2006.0
2018,1,Río Negro,110057,1062.0
2018,1,Salta,133182,1.0
2018,1,San Juan,62610,658.0
2018,1,San Luis,21096,300.0
2018,1,Santa Cruz,33970,435.0
2018,1,Santa Fe,679717,309.0
2018,1,Santiago Del Estero,82916,2.0
2018,1,Tierra Del Fuego,31106,508.0
2018,1,Tucumán,168026,31.0
2017,4,Buenos Aires,3171206,10690.0
2017,4,Capital Federal,1575418,6906.0
2017,4,Catamarca,29548,10.0
2017,4,Chaco,96603,12.0
2017,4,Chubut,91012,2428.0
2017,4,Córdoba,709874,105.0
2017,4,Corrientes,93760,11.0
2017,4,Entre Ríos,193654,49.0
2017,4,Formosa,32056,0.0
2017,4,Jujuy,43551,1.0
2017,4,La Pampa,81675,396.0
2017,4,La Rioja,52177,17.0
2017,4,Mendoza,178661,1490.0
2017,4,Misiones,103895,0.0
2017,4,Neuquén,114965,2006.0
2017,4,Río Negro,108702,1062.0
2017,4,Salta,132811,1.0
2017,4,San Juan,57965,659.0
2017,4,San Luis,14604,300.0
2017,4,Santa Cruz,29018,434.0
2017,4,Santa Fe,672137,323.0
2017,4,Santiago Del Estero,68842,2.0
2017,4,Tierra Del Fuego,28346,508.0
2017,4,Tucumán,162298,34.0
2017,3,Buenos Aires,3046758,11202.0
2017,3,Capital Federal,1563289,7070.0
2017,3,Catamarca,33467,11.0
2017,3,Chaco,93747,12.0
2017,3,Chubut,81067,2477.0
2017,3,Córdoba,696536,108.0
2017,3,Corrientes,92536,12.0
2017,3,Entre Ríos,185414,50.0
2017,3,Formosa,32105,0.0
2017,3,Jujuy,43241,1.0
2017,3,La Pampa,79280,410.0
2017,3,La Rioja,51896,17.0
2017,3,Mendoza,190958,1533.0
2017,3,Misiones,100476,0.0
2017,3,Neuquén,113755,2029.0
2017,3,Río Negro,106393,1103.0
2017,3,Salta,132517,1.0
2017,3,San Juan,61789,660.0
2017,3,San Luis,21408,311.0
2017,3,Santa Cruz,33222,468.0
2017,3,Santa Fe,662086,256.0
2017,3,Santiago Del Estero,82792,2.0
2017,3,Tierra Del Fuego,30883,583.0
2017,3,Tucumán,160979,33.0
2017,2,Buenos Aires,3067430,11201.0
2017,2,Capital Federal,1592175,8016.0
2017,2,Catamarca,26692,13.0
2017,2,Chaco,90597,14.0
2017,2,Chubut,62245,1730.0
2017,2,Córdoba,657505,133.0
2017,2,Corrientes,90085,12.0
2017,2,Entre Ríos,182675,57.0
2017,2,Formosa,29956,0.0
2017,2,Jujuy,42656,1.0
2017,2,La Pampa,72573,449.0
2017,2,La Rioja,16271,18.0
2017,2,Mendoza,169302,1451.0
2017,2,Misiones,99794,0.0
2017,2,Neuquén,115321,2112.0
2017,2,Río Negro,100621,998.0
2017,2,Salta,108540,1.0
2017,2,San Juan,51261,620.0
2017,2,San Luis,12992,315.0
2017,2,Santa Cruz,26019,369.0
2017,2,Santa Fe,566918,362.0
2017,2,Santiago Del Estero,33194,2.0
